subject,kernel,r_s,balanced_hit_seed_mean,raw_hit_seed_mean,auc_seed_mean
P3Numbers_20150514_f_10_002,33,15,1.0,1.0,0.7897006595636733
P3Numbers_20150514_f_10_003,33,5,1.0,1.0,0.9248971193415638
P3Numbers_20150514_m_09_001,33,3,1.0,1.0,0.7845679012345679
P3Numbers_20150514_m_10_001,33,31,0.6666666666666666,0.6666666666666666,0.6438080608587521
P3Numbers_20150514_m_10_002,33,19,0.6666666666666666,0.3333333333333333,0.5468585283575796
P3Numbers_20150514_m_11_001,33,24,0.3333333333333333,0.6666666666666666,0.603125
P3Numbers_20150514_m_11_002,33,12,1.0,0.6666666666666666,0.6997635933806147
P3Numbers_20150514_m_12_001,33,10,0.3333333333333333,0.3333333333333333,0.68719646799117
P3Numbers_20150514_m_12_002,33,21,1.0,1.0,0.8225440713919977
P3Numbers_20150514_m_12_003,33,22,1.0,1.0,0.6869565217391305
P3Numbers_20150514_m_13_001,33,20,1.0,1.0,0.6777495769881557
P3Numbers_20150514_m_13_002,33,20,1.0,1.0,0.6530713640469737
P3Numbers_20150514_m_13_003,33,7,1.0,1.0,0.9429153924566768
P3Numbers_20150514_m_13_004,33,21,0.0,0.0,0.43620893620893614
P3Numbers_20150514_m_13_005,33,12,1.0,1.0,0.7529239766081871
P3Numbers_20150514_m_13_006,33,11,0.6666666666666666,1.0,0.670138888888889
P3Numbers_20150514_m_13_007,33,16,1.0,1.0,0.8216157878507554
P3Numbers_20150526_f_13_001,33,26,0.0,0.0,0.6665696687521218
P3Numbers_20150526_f_13_002,33,12,1.0,1.0,0.7833635265700485
P3Numbers_20150526_f_13_003,33,2,0.3333333333333333,1.0,0.8367231638418079
P3Numbers_20150526_f_14_001,33,12,0.0,0.0,0.6348940914158305
P3Numbers_20150526_m_11_001,33,13,1.0,1.0,0.7677315651999196
P3Numbers_20150526_m_12_001,33,24,0.6666666666666666,1.0,0.6914793377305154
P3Numbers_20150526_m_12_002,33,15,1.0,1.0,0.7280168042879906
P3Numbers_20150526_m_12_003,33,7,1.0,1.0,0.708804143126177
P3Numbers_20150526_m_12_004,33,22,1.0,1.0,0.6646102435576119
P3Numbers_20150526_m_13_001,33,13,0.6666666666666666,0.3333333333333333,0.7044444444444444
P3Numbers_20150526_m_13_002,33,23,0.3333333333333333,0.0,0.6226394378568291
P3Numbers_20150526_m_13_003,33,6,1.0,1.0,0.8222468588322247
P3Numbers_20150526_m_13_004,33,8,0.6666666666666666,0.6666666666666666,0.7372372372372373
P3Numbers_20150526_m_13_005,33,23,1.0,0.0,0.665986394557823
P3Numbers_20150526_m_14_001,33,9,1.0,1.0,0.7839059674502713
P3Numbers_20150526_m_14_002,33,10,0.0,0.0,0.7811111111111112
P3Numbers_20150526_m_14_003,33,12,0.6666666666666666,1.0,0.7144674663758633
P3Numbers_20150526_m_14_004,33,21,0.0,0.0,0.4871957671957672
P3Numbers_20150526_m_14_005,33,15,0.0,0.0,0.467347409715011
P3Numbers_20150526_m_14_006,33,18,1.0,0.6666666666666666,0.6342300686562982
P3Numbers_20150618_f_10_001,33,7,1.0,1.0,0.8264497288277012
P3Numbers_20150618_f_11_001,33,14,0.0,0.0,0.5628349004145182
P3Numbers_20150618_f_11_002,33,28,0.3333333333333333,0.6666666666666666,0.5855324723937863
P3Numbers_20150618_f_11_003,33,10,1.0,1.0,0.8754966887417218
P3Numbers_20150618_f_11_004,33,7,0.6666666666666666,1.0,0.7408026755852842
P3Numbers_20150618_f_11_005,33,15,1.0,1.0,0.6833979459974154
P3Numbers_20150618_f_11_006,33,20,0.0,0.0,0.5570484581497798
P3Numbers_20150618_f_11_007,33,3,1.0,0.3333333333333333,0.6862887596899224
P3Numbers_20150618_f_12_001,33,16,0.6666666666666666,0.3333333333333333,0.47311373873873874
P3Numbers_20150618_m_11_001,33,15,0.6666666666666666,0.6666666666666666,0.764573268921095
P3Numbers_20150618_m_11_002,33,16,0.0,0.0,0.5774463631606488
P3Numbers_20150618_m_12_001,33,23,0.0,0.0,0.5446215571459554
P3Numbers_20150618_m_12_002,33,6,0.6666666666666666,0.6666666666666666,0.7864357864357864
P3Numbers_20141023_f_11_001,35,18,1.0,1.0,0.7783524904214559
P3Numbers_20141023_f_11_002,35,6,1.0,1.0,0.8863095238095239
P3Numbers_20141023_f_11_003,35,18,1.0,1.0,0.6211512717536813
P3Numbers_20141023_f_12_001,35,12,0.3333333333333333,0.3333333333333333,0.6288029100529101
P3Numbers_20141023_f_12_002,35,7,1.0,1.0,0.7991933160472486
P3Numbers_20141023_f_13_001,35,6,1.0,1.0,0.9427777777777777
P3Numbers_20141023_f_14_001,35,3,1.0,1.0,0.9910256410256411
P3Numbers_20141023_f_14_002,35,27,0.0,0.0,0.5507955936352509
P3Numbers_20141023_f_14_003,35,20,1.0,1.0,0.6786358173076922
P3Numbers_20141023_f_15_001,35,24,0.0,0.0,0.5929473634784242
P3Numbers_20141023_m_12_001,35,9,1.0,0.3333333333333333,0.7087872185911402
P3Numbers_20141023_m_12_002,35,16,0.0,0.0,0.4815910585141355
P3Numbers_20141023_m_13_001,35,27,1.0,1.0,0.5840024898848428
P3Numbers_20141023_m_14_001,35,18,1.0,1.0,0.6614621157104817
P3Numbers_20141023_m_14_002,35,24,0.6666666666666666,1.0,0.6610665239878722
P3Numbers_20141023_m_15_001,35,28,1.0,0.6666666666666666,0.7163832890929527
P3Numbers_20141023_m_15_002,35,8,0.6666666666666666,1.0,0.7598119008862362
